Job_Titles,Job_category
Administrative assistant,Admin
Data entry,Admin
Data entry clerk,Admin
Receptionist,Admin
Office Administrator,Admin
Events Administrator,Admin
Executive Assistant,Admin
Administrative Technician,Admin
Service Administrator,Admin
Administrative Services Manager,Admin
Business Administrator,Admin
Staff Assistant,Admin
Front Desk Supervisor,Admin
Senior Administrative Analyst,Admin
Senior Executive Assistant,Admin
Office Manager,Admin
Human Resources (HR) Administrator,Admin
IT Administrator,Admin
Network Administrator,Admin
Systems Administrator,Admin
Database Administrator,Admin
Server Administrator,Admin
Storage Administrator,Admin
Cloud Administrator,Admin
Security Administrator,Admin
Compliance Administrator,Admin
Virtualization Administrator,Admin
Middleware Administrator,Admin
Application Administrator,Admin
Email Administrator,Admin
Desktop Support Administrator,Admin
Help Desk Administrator,Admin
Service Desk Administrator,Admin
Incident Response Administrator,Admin
Change Management Administrator,Admin
Configuration Management Administrator,Admin
Release Management Administrator,Admin
Facilities Manager,Admin
Procurement Administrator,Admin
Contract Administrator,Admin
Vendor Management Administrator,Admin
Executive Coordinator,Admin
Facilities Coordinator,Admin
IT Operations Coordinator,Admin
IT Support Coordinator,Admin
Compliance Coordinator,Admin
Training Coordinator,Admin
Facilities Assistant,Admin
IT Operations Assistant,Admin
Administrative Director,Admin
Operations Coordinator,Operations
Operations Specialist,Operations
Operations Assistant,Operations
Operations Manager,Operations
Operations Director,Operations
Director of Business Operations,Operations
Business Operations Manager,Operations
Supply Chain Manager,Operations
Logistics Manager,Operations
IT Operations Manager,Operations
Data Center Operations Manager,Operations
Network Operations Manager,Operations
DevOps Manager,Operations
Site Reliability Engineer (SRE),Operations
Process Improvement Manager,Operations
Continuous Improvement Manager,Operations
Lean Six Sigma Manager,Operations
Quality Assurance Manager,Operations
Risk Management Manager,Operations
Vendor Manager,Operations
Partner Operations Manager,Operations
Continuous Improvement Consultant,Operations
Senior Process Engineer,Operations
Business Operations Specialist,Operations
Operations Associate,Operations
Logistician,Operations
Operations Management Consultant,Operations
Operations Engineer,Operations
Operations Geologist,Operations
Business Operations Associate,Operations
Operations Tech,Operations
Operations Management Officer,Operations
Sr. Manager Business Operations & Strategy,Operations
Manager of Operations,Operations
Operations Supervisor,Operations
Office Operations Manager,Operations
General Manager of Operations,Operations
Account Operations Manager,Operations
Senior Manager Business Operations,Operations
Director of Operations,Operations
Operations Management Lead,Operations
Director Business Operations,Operations
Continuous Improvement Lead,Operations
Director of International Operations,Operations
Business Operations Director,Operations
Assistant Director Operations,Operations
Senior Director Business Operations,Operations
Strategy & Operations Leader,Operations
E-Learning Specialist,Marketing
Freelance Web Designer,Development
Frontend Web Developer,Development
Junior Web Designer,Development
Quality Assurance Technician,Customer success
Responsive Web Developer,Development
Web Developer Internship,Development
Control Systems Engineer,Development
Senior/Principal Engineer,Development
Systems Developer Database Applications,Development
Applications Support Analyst,Customer success
Asset Knowledge Systems Analyst,Development
Cluster IT Specialist,Development
Eservices Systems Team Lead,Development
Procurement Sourcing Analyst,Finance
Systems/Data Support Analyst,Customer success
Systems Trainer,Development
Infra Support Analyst,Customer success
Senior Spatial Information Team Leader IT Business Systems,Development
Support Analyst Technical Analyst Officer,Customer success
Client Services And Information Officer,CXO
Network And Systems Administrator,Admin
Systems Manager,Development
Information And User Support Officer,Customer success
Linux Systems Administrator,Admin
People Systems Administrator,Admin
Senior Windows System Administrator,Admin
Software Administrator,Admin
System Administration Support Officer,Customer success
Systems Operation Manager,Development
Enterprise Reporting And Etl Developer,Development
Applications Development Specialist,Development
Engineer,Development
Senior Drupal Developer,Development
Senior Software Engineer,Development
Senior User Experience Designer,Development
Software Application Integrator,Development
Software Engineer,Development
Team Leader Applications Support,Customer success
Enterprise Solution Architect,Development
Implementation Analyst,Finance
Lead Application Analyst,Development
National Applications Specialist,Marketing
Research Intelligence Analyst,Marketing
Senior Application Analyst,Development
Digital Back End Developer,Development
Game Programmer,Development
Machine Programmer,Development
Programmer,Development
Sas Programmer,Development
Sql Programmer,Development
Ui Programmer,Development
Network Project Specialist,Project management 
Network Infrastructure Administrator,Admin
Digital Content Producer,Marketing
Multimedia Coordinator,Marketing
Multimedia Producer,Marketing
Multimedia Specialist,Marketing
Web Producer,Development
Chief Technology Manager,CXO
Client Delivery Manager,Marketing
Category Manager,Marketing
Coordinator,Admin
Program Director,Project management 
Procurement Officer,CXO
Resource Officer,CXO
Information And Communication Technology ICT Officer,CXO
IT Project Administrator,Project management 
Project Manager Information Systems,Project management 
Technical Operations Manager,Operations
Environmental Management Information Systems Emis Consultant,Development
Contracts Specialist,Marketing
Project Support Officer,Customer success
Security Consultant,Development
IT Consultant,Development
Senior IT Recruitment Consultant,Development
Senior Technology Specialist,Marketing
Computer Hardware Engineer,Development
Hardware Engineer,Development
Hardware Test Engineer,Testing
Research Assistant/Junior Engineer,Marketing
Director Service Operations And Security,Operations
Risk And Security Specialist,Development
Security Analyst,Development
Security Specialist,Development
Information Security Manager,Marketing
Information Security Officer,CXO
IT Security Consultant,Development
IT Security Engineer,Development
IT Security Operations Officer,Operations
IT Security Operations Specialist,Operations
IT Security Specialist,Development
Security Sales Specialist Cyber Security,Sales
Senior Systems Officer Security,Development
CSI Technician,Customer success
Computer Service Technician,Customer success
Field Technician,Customer success
Service Technician,Customer success
IT Support Technician,Customer success
IT Systems Technician,Development
Onsite Support Technician,Customer success
IT Continuity Risk Analyst,Development
Pre-Sales Customer Technology Strategist,Sales
Reporting Analyst,Finance
Reporting And Insights Specialist,Marketing
Senior Data Business Analyst,Product management
Senior Digital Reporting Analyst,Marketing
Senior Forecast Analyst,Development
Senior Insights Analyst,Marketing
Team Leader IT Business Systems,Development
Data Analyst And Information Manager,Development
Database Analyst,Development
Database Coordinator/Analyst,Development
E-Health Systems Administrator,Admin
Information Management Officer,CXO
Senior Information Management Specialist,Marketing
Data Analyst / Scientist,Development
Data Science Consultant,Development
Data Scientist – Machine Learning,Development
Director – Data Science,Marketing
Junior Data Analyst / Scientist,Development
Lead Data Scientist,Development
Senior Data Analyst / Scientist,Development
Data Centre Technician,Development
Data Centre Technician Lead,Development
Data Centre IT Support Engineer,Development
Data Centre Facility Management,Development
Data Centre Operations Manager,Operations
Entry Level Data Centre Technician,Development
Technical Consultant,Development
Academic Data Analyst,Development
Associate Data Analyst,Development
Data Analyst,Development
Data Analyst – Digital,Development
Data Classification Analyst,Development
Data Quality Analyst,Development
Digital Data Analyst,Development
Junior Data Analyst,Development
Master Data Analyst,Development
People Data Analyst,Development
Privacy And Data Protection Senior Analyst,Development
Property Data Analyst,Development
Senior Data Analyst,Development
Cloud infrastructure architect,Development
Enterprise architect,Development
IT systems architect,Development
Computer systems manager,Development
Network architect,Development
IT coordinator,Development
Service desk analyst,Customer success
System administrator / sysadmin,Admin
Wireless network engineer,Development
Data quality manager,Development
Database report writer,Marketing
SQL database administrator,Admin
Business intelligence specialist/analyst,Product management
Business systems analyst,Product management
Data modeling analyst,Development
Data warehouse manager,Development
Intelligence specialist,Marketing
Cloud/software architect,Development
Cloud system administrator,Admin
Platform engineer,Development
Reliability engineer,Development
UI user interface designer,Development
UX user experience designer,Development
Application security administrator,Admin
Artificial intelligence security specialist,Development
Cloud security specialist,Development
Cyberintelligence specialist,Marketing
Cryptographer,Development
Digital forensics analyst,Marketing
Information assurance analyst,Development
Security systems administrator,Admin
Help desk support specialist,Customer success
Marketing Director,Marketing
Marketing Research Analyst,Marketing
Public Relations,Marketing
Social Media Assistant,Marketing
Copywriter,Marketing
Media Buyer,Marketing
eCommerce Marketing Specialist,Marketing
Auditing Clerk,Admin
Bookkeeper,Marketing
Branch Manager,Finance
Business Manager,Sales
Quality Control Coordinator,Development
Administrative Manager,Admin
Human Resources,Human Resource
Secretary,Admin
Office Clerk,Admin
File Clerk,Admin
Account Collector,Sales
Administrative Specialist,Admin
Program Administrator,Admin
Administrative Analyst,Admin
Computer Scientist,Development
IT Professional,Development
UX Designer & UI Developer,Development
SQL Developer,Development
Help Desk Worker/Desktop Support,Customer success
Computer Programmer,Development
Information Security Analyst,Development
Artificial Intelligence Engineer,Development
Cloud Architect,Development
IT Manager,Marketing
Technical Specialist,Development
Chief Technology Officer CTO,CXO
Chief Information Officer CIO,CXO
Sales Associate,Sales
Retail Worker,Sales
Store Manager,Marketing
Real Estate Broker,Marketing
Cashier,Finance
Area Sales Manager,Sales
Direct Salesperson,Sales
Director of Inside Sales,Sales
Outside Sales Manager,Sales
Market Development Manager,Development
B2B Sales Specialist,Sales
Merchandising Associate,Marketing
Virtual Assistant,Admin
Customer Service,Customer success
Customer Support,Customer success
Help Desk,Customer success
Customer Service Manager,Customer success
Account Representative,Sales
Client Service Specialist,Customer success
Customer Care Associate,Customer success
Operations Analyst,Operations
Vice President of Operations,Operations
Operations Professional,Operations
Credit Counselor,Finance
Accountant,Finance
Accounting Analyst,Finance
Accounting Director,Marketing
Accounts Payable/Receivable Clerk,Finance
Economist,Marketing
Payroll Clerk,Finance
Financial Services Representative,Finance
Finance Director,Finance
Manual testing,Testing
Technical specialist,Development
AI/ML engineer,Development
HR,Human Resource
Exceutive hr,Human Resource
Data scientist,Development
Business development representative,Admin
Marketing executive,Marketing
Admin,Admin
BA intern,Product management
Business analysis,Product management
Business analyst,Product management
QA Analyst,Testing
Analyst,Development
Assitant manager hr,Human Resource
Database Administrator,Development
Development manager ,Development
Service delivery manager,Customer success
React js developer,Development
Angular js developer,Development
Full stack developer,Development
Dot net developer,Development
assistant manager hr operations,Human Resource
Associate recruiter,Human Resource
azure administrator,Development
Executive admin,Admin
Frontend react js developer,Development
Veujs frondend developer,Development
graphics design intern,Development
Hr executive,Human Resource
Hr manager,Human Resource
Recruiter,Human Resource
Jr python developer,Development
Sr python developer,Development
Qa engineer,Testing
Jr recruiter,Human Resource
Junior software developer,Development
Senior Software developer,Development
Jr software developer,Development
Junior test automation engineer,Testing
Lead recruiter,Development
Mangento developer,Development
Magento api developer,Development
Manual qa,Testing
Mobile app designer,Development
ios app developer,Development
ios developer,Development
nodejs developer,Development
nodejs lead developer,Development
nodejs vuejs fullstack developer,Development
performance test engineer,Testing
postgresql developer,Development
power bi developer,Development
program manager,Project management 
project cocoordinator,Project management 
project coordination lead,Project management 
project lead,Project management 
project leader,Project management 
project lead manager,Project management 
projects lead team manager,Product management
protec additional developer net mvc aspnet,Development
python developer,Development
python django developer,Development
python lead,Development
qa,Testing
qa analyst,Testing
qa coach senior quality assurance analyst,Testing
application support,Customer success
application support analyst,Customer success
Devops Engineer,Development
CTO,CXO
Team lead,Development
Customer relationship manager,Customer success
Junior architect,Development
Business support executive,Admin
Associate,Development
Associate analyst,Development
Devops,Development
Auditor,Finance
Audit lead,Finance
Teacher,Others
Principal,Others
School Counselor,Others
Librarian,Others
University Professor,Others
Academic Dean,Others
Researcher,Others
Laboratory Technician,Others
Architect,Others
Civil Engineer,Others
Mechanical Engineer,Others
Electrical Engineer,Others
Chemical Engineer,Others
Pharmacist,Others
Registered Nurse,Others
Dentist,Others
Physician,Others
Surgeon,Others
Pediatrician,Others
Cardiologist,Others
Optometrist,Others
Veterinarian,Others
Physiotherapist,Others
Occupational Therapist,Others
Psychologist,Others
Nutritionist,Others
Dietitian,Others
Social Worker,Others
Lawyer,Others
Paralegal,Others
Judge,Others
Police Officer,Others
Firefighter,Others
Paramedic,Others
Pilot,Others
Air Traffic Controller,Others
Chef,Others
Baker,Others
Farmer,Others
Agriculturist,Others
Biologist,Others
Chemist,Others
Geologist,Others
Meteorologist,Others
Accountant,Others
Financial Planner,Others
Banker,Finance
Sales Representative,Sales
Real Estate Agent,Others
Journalist,Others
Museum Curator,Others
Archivist,Others
Flight Attendant,Others
Hotel Manager,Others
Event Planner,Others
Landscape Designer,Others
Horticulturist,Others
Marine Biologist,Others
Zoologist,Others
Forester,Others
Botanist,Others
Anthropologist,Others
Archeologist,Others
Sociologist,Others
Illustrator,Others
Graphic Designer,Others
Translator,Others
Interpreter,Others
Playwright,Others
Actor,Others
Musician,Others
Composer,Others
Film Director,Others
Cinematographer,Others
Editor (Film or Print),Others
Fashion Designer,Others
Choreographer,Others
Makeup Artist,Others
Sculptor,Others
Art Therapist,Others
Athletic Trainer,Others
Coach,Others
Fitness Instructor,Others
Lifeguard,Others
Fisherman,Others
Brewer,Others
Winemaker,Others
Sommelier,Others
Barista,Others
Construction Manager,Others
Surveyor,Others
Urban Planner,Others
Barber,Others
Hairstylist,Others
Cosmetologist,Others
Esthetician,Others
Auctioneer,Others
Gemologist,Others
Blacksmith,Others
Carpenter,Others
Jeweler,Others
Pastry Chef,Others
Butcher,Others
Milliner (hat maker),Others
Tailor,Others
Shoemaker (Cobbler),Others
Seamstress,Others
Potter,Others
Glassblower,Others
Watchmaker,Others
Florist,Others
Photographer,Others
Radio Broadcaster,Others
News Anchor,Others
Marine Captain,Others
Shipwright,Others
Dancer,Others
Sculptor,Others
Opera Singer,Others
Stage Director,Others
Novelist,Others
Poet,Others
Literary Critic,Others
Bookbinder,Others
Calligrapher,Others
Game Warden,Others
Park Ranger,Others
Tour Guide,Others
Beekeeper,Others
Fishery Biologist,Others
Sound Technician,Others
Lighting Designer,Others
Stagehand,Others
Costume Designer,Others
Prop Master,Others
Set Designer,Others
Geophysicist,Others
Astrophysicist,Others
Ornithologist,Others
Ethologist (studies animal behavior),Others
Oceanographer,Others
Cartographer (map maker),Others
Demographer (studies populations),Others
Epistemologist (studies knowledge),Others
Entomologist (studies insects),Others
Ichthyologist (studies fish),Others
Herpetologist (studies reptiles and amphibians),Others
Radiologist,Others
Anesthetist,Others
Midwife,Others
Chiropractor,Others
Optician,Others
Reflexologist,Others
Prosthodontist (specializes in dental prosthetics),Others
Gerontologist (studies aging),Others
Numismatist (studies coins),Others
Philatelist (studies stamps),Others
Luthier (makes stringed musical instruments),Others
Farrier (shoes horses),Others
Taxidermist,Others
Ethnobotanist (studies plants' relationships with cultures),Others
Mycologist (studies fungi),Others
Mineralogist (studies minerals),Others
Volcanologist,Others
Seismologist (studies earthquakes),Others
Arborist (tree specialist),Others
Falconer,Others
Horologist (studies timekeeping),Others
Embalmer,Others
Paleontologist,Others
Software architect,Development
SQL,Development
GET,Development
Associate,Development
